position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,size,mass,collision
426189.45423931954,-330899.7550442419,548099.8635135728,47.485993530526144,35.33929180500837,38.79929271163667,7.309603751679408,132956653307334.1,0
-884406.6725519784,965762.4948253855,962856.715039396,0.11682969167854651,-12.258524851346323,-31.47162065613367,7.464834356919919,164681983354593.1,0
901356.1816853934,809472.803670042,157634.1497973872,-19.1306067090083,10.674110938864409,-14.87887551295917,6.3532031295018605,539244388960063.6,0
-833600.754234134,359025.4485745905,-281165.617243408,-2.9934671309495684,33.89186860141848,-49.75912563247083,5.757037287643775,351455659187210.0,0
326948.2143059785,-619759.5447642963,-825370.6357518964,-18.631881876301282,-21.863922315183395,40.64463621308127,2.3660028726315434,90700706447443.95,0
-278736.95734599675,-376355.68562597537,-397729.0673201332,-20.788966868115455,-29.868457950787885,-0.24396559476671342,9.338066890953893,539129106813448.8,0
28633.842937611393,499575.38943209755,-752880.2650735849,21.911598808772197,19.75724875962004,-7.374931742667712,7.2959877406285525,522061461891870.8,0
192202.79408357502,573229.3274583097,789329.6383717731,-42.87046131450549,-26.75405749012193,-12.201650689097463,0.5524702532942513,642770820340811.1,0
-921474.6855806278,770344.7624422265,454660.44490654697,6.887789280602398,5.3381776810366475,11.189908387796066,1.6050226405569072,705182302287968.8,0
-193696.36039295665,741974.0425282903,448244.6191240072,-18.774499707098546,37.13349312522031,33.39245575776961,5.339752532865621,893329984946486.1,0
803887.9382289078,-680835.6609051267,403422.1899099848,-6.87140689932545,10.057141878729638,3.566733228495522,7.006400608005539,869975598382439.1,0
491837.8468859582,-596290.7048230894,-185452.81722809118,37.68170160431285,-7.882039456393343,11.176352586118568,9.237098822474346,186358187725783.0,0
514881.7252525501,-471669.6304710129,980876.8138056665,-46.931749085095745,-11.967606231585059,38.7531572888352,8.211552599558587,566111659205054.0,0
955133.5354276784,592921.5831278795,426523.58637354244,-11.196861975379221,3.798833951769879,-12.815966895945621,9.957862153526383,938810536601132.8,0
